YearTerm,Subject,Number
2023-sp,CEE,360
2023-sp,CEE,380
2023-sp,CEE,411
2023-sp,CEE,415
2023-sp,CEE,420
2023-sp,CEE,420
2023-sp,CEE,433
2023-sp,CEE,460
2023-sp,CEE,461
2023-sp,CEE,462
2023-sp,CEE,465
2023-sp,CEE,470
2023-sp,CEE,498
2023-sp,CEE,528
2023-sp,CEE,570
2023-sp,CEE,592
2023-sp,CHBE,221
2023-sp,CHBE,321
2023-sp,CHBE,411
2023-sp,CHBE,421
2023-sp,CHBE,422
2023-sp,CHBE,424
2023-sp,CHBE,430
2023-sp,CHBE,431
2023-sp,CHBE,440
2023-sp,CHBE,458
2023-sp,CHBE,471
2023-sp,CHBE,476
2023-sp,CHBE,513
2023-sp,CHBE,571
2023-sp,CHEM,101
2023-sp,CHEM,102
2023-sp,CHEM,102
2023-sp,CHEM,102
2023-sp,CHEM,102
2023-sp,CHEM,102
2023-sp,CHEM,103
2023-sp,CHEM,104
2023-sp,CHEM,104
2023-sp,CHEM,104
2023-sp,CHEM,104
2023-sp,CHEM,105
2023-sp,CHEM,108
2023-sp,CHEM,199
2023-sp,CHEM,199
2023-sp,CHEM,204
2023-sp,CHEM,205
2023-sp,CHEM,232
2023-sp,CHEM,232
2023-sp,CHEM,233
2023-sp,CHEM,233
2023-sp,CHEM,236
2023-sp,CHEM,312
2023-sp,CHEM,315
2023-sp,CHEM,332
2023-sp,CHEM,332
2023-sp,CHEM,360
2023-sp,CHEM,420
2023-sp,CHEM,436
2023-sp,CHEM,440
2023-sp,CHEM,442
2023-sp,CHEM,474
2023-sp,CHEM,524
2023-sp,CHEM,530
2023-sp,CHLH,100
2023-sp,CHLH,100
2023-sp,CHLH,101
2023-sp,CHLH,101
2023-sp,CHLH,125
2023-sp,CHLH,126
2023-sp,CHLH,200
2023-sp,CHLH,201
2023-sp,CHLH,203
2023-sp,CHLH,206
2023-sp,CHLH,206
2023-sp,CHLH,210
2023-sp,CHLH,210
2023-sp,CHLH,243
2023-sp,CHLH,243
2023-sp,CHLH,244
2023-sp,CHLH,250
2023-sp,CHLH,260
2023-sp,CHLH,260
2023-sp,CHLH,274
2023-sp,CHLH,274
2023-sp,CHLH,304
2023-sp,CHLH,304
2023-sp,CHLH,380
2023-sp,CHLH,404
2023-sp,CHLH,409
2023-sp,CHLH,410
2023-sp,CHLH,415
2023-sp,CHLH,421
2023-sp,CHLH,441
2023-sp,CHLH,455
2023-sp,CHLH,457
2023-sp,CHLH,458
2023-sp,CHLH,469
2023-sp,CHLH,577
2023-sp,CHLH,581
2023-sp,CHP,199
2023-sp,CI,210
2023-sp,CI,401
2023-sp,CI,401
2023-sp,CI,401
2023-sp,CI,404
2023-sp,CI,404
2023-sp,CI,415
2023-sp,CI,415
2023-sp,CI,432
2023-sp,CI,432
2023-sp,CI,432
2023-sp,CI,439
2023-sp,CI,445
2023-sp,CI,446
2023-sp,CI,448
2023-sp,CI,448
2023-sp,CI,451
2023-sp,CI,451
2023-sp,CI,473
2023-sp,CI,475
2023-sp,CI,475
2023-sp,CI,475
2023-sp,CI,487
2023-sp,CI,517
2023-sp,CLCV,100
2023-sp,CLCV,102
2023-sp,CLCV,102
2023-sp,CLCV,111
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,115
2023-sp,CLCV,116
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,224
2023-sp,CLCV,231
2023-sp,CLCV,444
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,101
2023-sp,CMN,102
2023-sp,CMN,112
2023-sp,CMN,112
2023-sp,CMN,112
2023-sp,CMN,112
2023-sp,CMN,210
2023-sp,CMN,211
2023-sp,CMN,211
2023-sp,CMN,212
2023-sp,CMN,214
2023-sp,CMN,220
2023-sp,CMN,230
2023-sp,CMN,230
2023-sp,CMN,230
2023-sp,CMN,232
2023-sp,CMN,232
2023-sp,CMN,232
